Wall time,Step,Value
1633493823.7366152,0,0.2711000144481659
1633494026.2038243,1,0.3675000071525574
1633494229.0438802,2,0.43369999527931213
1633494433.2499871,3,0.3977999985218048
1633494635.6975284,4,0.5403000116348267
1633494838.5295677,5,0.5922999978065491
1633495042.2186894,6,0.6169000267982483
1633495245.6690135,7,0.650600016117096
1633495448.4088082,8,0.661899983882904
1633495651.6352339,9,0.6611999869346619
1633495854.9583437,10,0.7164000272750854
1633496057.7065203,11,0.7182999849319458
1633496260.3695414,12,0.7243000268936157
1633496464.5648725,13,0.7547000050544739
1633496667.1277285,14,0.7529000043869019
1633496869.5093951,15,0.7506999969482422
1633497073.2024918,16,0.7732999920845032
1633497275.9046278,17,0.7753000259399414
1633497478.3184114,18,0.7997999787330627
1633497682.3355923,19,0.8021000027656555
1633497885.0273664,20,0.7935000061988831
1633498087.1613824,21,0.8113999962806702
1633498290.8794544,22,0.8108000159263611
1633498493.3783047,23,0.8360999822616577
1633498696.2089305,24,0.8321999907493591
1633498899.1699882,25,0.819100022315979
1633499102.2678416,26,0.8406999707221985
1633499304.9236443,27,0.843500018119812
1633499507.97067,28,0.8514000177383423
1633499711.8971462,29,0.8389000296592712
1633499914.1660707,30,0.8526999950408936
1633500117.437291,31,0.8651000261306763
1633500320.7824047,32,0.8622000217437744
1633500523.3359225,33,0.8723000288009644
1633500725.307674,34,0.8723999857902527
1633500928.92001,35,0.8745999932289124
1633501131.8934395,36,0.8781999945640564
1633501334.5394309,37,0.8664000034332275
1633501537.5323014,38,0.8833000063896179
1633501741.149419,39,0.8788999915122986
1633501943.374931,40,0.8798999786376953
1633502145.6427755,41,0.8748999834060669
1633502349.3418722,42,0.892799973487854
1633502552.207136,43,0.8880000114440918
1633502754.5710223,44,0.8783000111579895
1633502958.52087,45,0.881600022315979
1633503160.8205273,46,0.8849999904632568
1633503363.2492936,47,0.8931000232696533
1633503567.3953104,48,0.9000999927520752
1633503770.0889616,49,0.8913000226020813
